epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,ram_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,data_wait_s,compute_s
21,2,,,,,,,33,9,42,29.1,420,5001,30,0,10.7,29.8,0.0,0.0,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,summary,0.401022,0.895259,0.341939,0.926733,0.00376461,3.4,,,,,,,,,,,,,,2,17.5,33,3,6.0,9,42,42.0,42,29.1,32.05,35.0,457.5,5001.0,30.0,0,10.7,32.8,54.9,29.78,29.79,29.8,63.16,0.0,0.01,0.01,0.0,0.34,0.69,8.281,13.705,1.94,1.94,1.94,15.992,2.08,0.37
22,1,,,,,,,2,3,42,33.2,510,5001,30,0,55.7,29.8,0.01,0.94,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,,,,,,,62,15,43,30.2,525,5001,30,0,11.4,29.8,0.0,0.0,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,summary,0.392060,0.901063,0.360491,0.914660,0.00373208,3.4,,,,,,,,,,,,,,2,32.0,62,3,9.0,15,42,42.5,43,30.2,31.7,33.2,517.5,5001.0,30.0,0,11.4,33.55,55.7,29.8,29.8,29.8,63.16,0.0,0.01,0.01,0.0,0.47,0.94,8.281,13.705,1.94,1.94,1.94,15.992,2.15,0.35
23,1,,,,,,,2,3,42,31.4,495,5001,30,0,55.6,29.8,0.0,0.54,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,,,,,,,96,26,43,32.9,570,5001,30,0,10.3,29.79,0.0,0.0,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,summary,0.391576,0.900144,0.363579,0.916117,0.00369760,3.4,,,,,,,,,,,,,,2,49.0,96,3,14.5,26,42,42.5,43,31.4,32.15,32.9,532.5,5001.0,30.0,0,10.3,32.95,55.6,29.79,29.8,29.8,63.16,0.0,0.0,0.0,0.0,0.27,0.54,8.281,13.705,1.94,1.94,1.94,15.992,2.11,0.35
24,1,,,,,,,3,3,42,29.4,480,5001,30,0,55.8,29.79,0.0,2.91,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,,,,,,,95,31,43,36.5,2565,10801,30,0,7.6,29.8,0.0,0.0,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,summary,0.387270,0.902373,0.350441,0.922362,0.00366123,3.3,,,,,,,,,,,,,,3,49.0,95,3,17.0,31,42,42.5,43,29.4,32.95,36.5,1522.5,7901.0,30.0,0,7.6,31.7,55.8,29.79,29.8,29.8,63.16,0.0,0.0,0.0,0.0,1.46,2.91,8.281,13.705,1.94,1.94,1.94,15.992,2.06,0.36
25,1,,,,,,,3,3,42,37.0,525,5001,30,0,56.2,29.8,0.03,2.79,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,,,,,,,31,9,42,29.5,420,5001,30,0,12.9,29.8,0.0,0.0,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,summary,0.386201,0.903352,0.386690,0.899327,0.00362543,3.3,,,,,,,,,,,,,,3,17.0,31,3,6.0,9,42,42.0,42,29.5,33.25,37.0,472.5,5001.0,30.0,0,12.9,34.55,56.2,29.8,29.8,29.8,63.16,0.0,0.01,0.03,0.0,1.4,2.79,8.281,13.705,1.94,1.94,1.94,15.992,2.06,0.29
26,1,,,,,,,4,3,42,35.2,450,5001,30,0,56.5,29.8,0.0,2.22,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2,,,,,,,97,20,42,32.4,405,5001,30,0,9.2,29.8,0.0,0.0,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,summary,0.375474,0.908886,0.326160,0.930618,0.00358547,3.4,,,,,,,,,,,,,,4,50.5,97,3,11.5,20,42,42.0,42,32.4,33.8,35.2,427.5,5001.0,30.0,0,9.2,32.85,56.5,29.8,29.8,29.8,63.16,0.0,0.0,0.0,0.0,1.11,2.22,8.281,13.705,1.94,1.94,1.94,15.992,2.09,0.36
27,1,,,,,,,3,3,41,29.5,510,5001,30,0,54.8,29.81,0.0,2.32,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,,,,,,,96,23,45,34.1,2565,10801,30,0,13.6,29.82,0.0,0.0,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,summary,0.372818,0.911249,0.325430,0.931936,0.00354374,3.4,,,,,,,,,,,,,,3,49.5,96,3,13.0,23,41,43.0,45,29.5,31.8,34.1,1537.5,7901.0,30.0,0,13.6,34.2,54.8,29.81,29.81,29.82,63.16,0.0,0.0,0.0,0.0,1.16,2.32,8.281,13.705,1.94,1.94,1.94,15.992,2.1,0.33
28,1,,,,,,,3,3,42,29.9,465,5001,30,0,56.6,29.82,0.01,0.68,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
